,iso_code,continent,location,date,total_cases,total_deaths,population,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand
0,KIR,Oceania,Kiribati,2022-06-09,3183.0,13.0,121388.0,143.701,23.2,1981.132,68.37,0.63,434.657,22.66,1.9
1,STP,Africa,Sao Tome and Principe,2022-06-09,6003.0,73.0,223364.0,212.84099999999998,18.7,3052.7140000000004,70.39,0.625,270.113,2.42,2.9
2,LBR,Africa,Liberia,2022-06-09,7456.0,294.0,5180208.0,49.126999999999995,19.2,752.788,64.1,0.48,272.509,2.42,0.8
3,COM,Africa,Comoros,2022-06-09,8126.0,160.0,888456.0,437.352,20.4,1413.89,64.32,0.5539999999999999,261.51599999999996,11.88,2.2
4,ATG,North America,Antigua and Barbuda,2022-06-09,8406.0,139.0,98728.0,231.845,32.1,21490.943,77.02,0.778,191.511,13.17,3.8
5,VCT,North America,Saint Vincent and the Grenadines,2022-06-09,8807.0,108.0,111269.0,281.78700000000003,31.8,10727.146,72.53,0.738,252.675,11.62,2.6
6,NER,Africa,Niger,2022-06-09,9031.0,310.0,25130810.0,16.955,15.1,926.0,62.42,0.39399999999999996,238.33900000000003,2.42,0.3
7,ERI,Africa,Eritrea,2022-06-09,9768.0,103.0,3601462.0,44.303999999999995,19.3,1510.4589999999998,66.32,0.45899999999999996,311.11,6.05,0.7
8,YEM,Asia,Yemen,2022-06-09,11822.0,2149.0,30490639.0,53.508,20.3,1479.1470000000002,66.12,0.47,495.00300000000004,5.35,0.7
9,TON,Oceania,Tonga,2022-06-09,11909.0,12.0,106759.0,150.028,22.3,5425.621,70.91,0.725,227.49,15.42,2.6
10,GMB,Africa,Gambia,2022-06-09,12002.0,365.0,2486937.0,207.56599999999997,17.5,1561.767,62.05,0.496,331.43,1.91,1.1
11,CAF,Africa,Central African Republic,2022-06-09,14649.0,113.0,4919987.0,7.479,18.3,661.24,53.28,0.397,435.727,6.1,1.0
12,DJI,Africa,Djibouti,2022-06-09,15686.0,189.0,1002197.0,41.285,25.4,2705.406,67.11,0.524,258.03700000000003,6.05,1.4
13,GNQ,Africa,Equatorial Guinea,2022-06-09,15933.0,183.0,1449891.0,45.193999999999996,22.4,22604.873,58.74,0.5920000000000001,202.812,7.78,2.1
14,TJK,Asia,Tajikistan,2022-06-09,17786.0,125.0,9749625.0,64.281,23.3,2896.913,71.1,0.6679999999999999,427.69800000000004,7.11,4.8
15,GRD,North America,Grenada,2022-06-09,18035.0,231.0,113015.0,317.132,29.4,13593.877,72.4,0.779,243.96400000000003,10.71,3.7
16,NIC,North America,Nicaragua,2022-06-09,18491.0,240.0,6702379.0,51.667,27.3,5321.444,74.48,0.66,137.016,11.47,0.9
17,BFA,Africa,Burkina Faso,2022-06-09,20899.0,384.0,21497097.0,70.15100000000001,17.6,1703.102,61.58,0.452,269.048,2.42,0.4
18,SLB,Oceania,Solomon Islands,2022-06-09,21237.0,149.0,703995.0,21.840999999999998,20.8,2205.923,73.0,0.5670000000000001,459.78,18.68,1.4
19,TLS,Asia,Timor,2022-06-09,22931.0,133.0,1343875.0,87.176,18.0,6570.102,69.5,0.606,335.346,6.86,5.9
20,LCA,North America,Saint Lucia,2022-06-09,26316.0,371.0,184401.0,293.187,34.9,12951.839,76.2,0.759,204.62,11.62,1.3
21,BEN,Africa,Benin,2022-06-09,26952.0,163.0,12451031.0,99.11,18.8,2064.236,61.77,0.545,235.84799999999998,0.99,0.5
22,HTI,North America,Haiti,2022-06-09,30963.0,835.0,11541683.0,398.44800000000004,24.3,1653.1729999999998,64.0,0.51,430.548,6.65,0.7
23,MLI,Africa,Mali,2022-06-09,31120.0,735.0,20855724.0,15.196,16.4,2014.306,59.31,0.434,268.024,2.42,0.1
24,BHS,North America,Bahamas,2022-06-09,35163.0,811.0,396914.0,39.497,34.3,27717.847,73.92,0.8140000000000001,235.954,13.17,2.9
25,TZA,Africa,Tanzania,2022-06-09,35354.0,840.0,61498438.0,64.699,17.7,2683.304,65.46,0.529,217.28799999999998,5.75,0.7
26,GIN,Africa,Guinea,2022-06-09,36817.0,442.0,13497237.0,51.755,19.0,1998.9260000000002,61.6,0.47700000000000004,336.717,2.42,0.3
27,TGO,Africa,Togo,2022-06-09,37166.0,273.0,8478242.0,143.366,19.4,1429.8129999999999,61.04,0.515,280.033,6.15,0.7
